tenant,has_resty_word,has_powered_by_restyart,has_resty_funnel_title,has_support_email
arc,Y,N,Y,N
blog,Y,N,Y,N
book-review,Y,N,Y,N
brochure,Y,N,Y,N
bucket,Y,N,Y,N
cafe,Y,N,Y,N
calli,Y,N,Y,N
care,Y,N,Y,N
career,Y,N,Y,N
chemistry,Y,N,Y,N
classic,Y,N,Y,N
clef,Y,N,N,N
crm,Y,N,Y,N
dummy,Y,N,Y,N
english,Y,N,Y,N
flower,Y,N,Y,Y
food,Y,N,Y,N
foodsns,Y,N,Y,N
form,Y,N,Y,N
goodprice,Y,N,N,N
gpt,Y,N,Y,N
growup,Y,N,Y,N
healing,Y,N,Y,N
hike,Y,N,Y,N
history,Y,N,Y,Y
hotfeel,Y,N,Y,N
hvalue,Y,N,Y,Y
idea,Y,N,Y,N
insect,Y,N,Y,Y
jjreview,Y,N,Y,N
klocal,Y,N,Y,N
korean,Y,N,Y,N
library,Y,N,Y,N
lifefood,Y,N,Y,Y
light,Y,N,Y,N
linker,Y,N,Y,N
logo,Y,N,Y,N
mind,Y,N,Y,N
mindmap,Y,N,Y,N
mud,Y,N,Y,N
mypage,Y,N,Y,N
physics,Y,N,Y,N
play,Y,N,Y,Y
plot,Y,N,Y,N
portfolio,Y,N,N,N
qbank,Y,N,Y,N
qbox,Y,N,Y,N
reading,Y,N,Y,N
rebrand,Y,Y,Y,N
recipe,Y,N,Y,N
research,Y,N,Y,N
resume,Y,Y,Y,N
save,Y,N,Y,N
search,Y,N,Y,N
seo-foundry,Y,N,Y,N
sight,Y,N,Y,Y
sim,Y,N,Y,Y
smart,Y,N,Y,Y
sosofarm,Y,N,Y,N
special,Y,N,Y,N
sports,Y,N,Y,N
story,Y,N,Y,N
tech,Y,N,Y,N
today,Y,N,Y,N
trace,Y,N,Y,N
trips,Y,N,Y,N
tripsim,Y,N,N,N
vibe,Y,N,Y,N
vibecommunity,Y,N,Y,N
video,Y,N,Y,Y
vtest,Y,N,Y,N
wish,Y,N,Y,N
wonder,Y,N,Y,N
wookwang,Y,N,N,N
youtube-vo,Y,N,Y,N
youtube,Y,N,Y,N
